Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq
				服务人员	65									补丁	81													玩单机	46		
				答复	65									系统盘	79													ol	42		
				客服联系	37									无线网卡	75													dota	38		
														后台	69													fps100	32		
														杀毒软件	68																
														管家	59																
														office2016	56																
														w7系统	56																
														个硬盘	54																
														windows7	53																
														电脑管家	53																
														bios	50																
														wps	49																
														个win7	48																
														预装软件	46																
														xp	42																
