PosWord	Value
将领	0.574057 
雷神小	0.574209 
念念不忘	0.574697 
做	0.574913 
价格	0.574918 
广东省	0.575136 
生活费	0.575552 
成华硕	0.576525 
５分	0.576708 
说了算	0.576970 
一款电脑	0.577682 
杯子	0.578372 
超棒	0.578733 
装运	0.578877 
存取	0.578903 
校内	0.579317 
驾	0.579470 
黄蜂	0.579987 
承运	0.580012 
人事	0.580216 
4百	0.580553 
持续	0.580859 
货票	0.581335 
厉害厉害	0.581561 
一出现问题	0.581766 
胶皮	0.582212 
菱	0.582761 
贴膜贴	0.582988 
传	0.583108 
千万千万	0.583420 
款机子	0.583978 
个性价比	0.584100 
拆封	0.584251 
毛我刚	0.584323 
励	0.584831 
克隆	0.584981 
科长	0.585289 
强	0.585586 
外甥	0.586021 
也许	0.586049 
完善	0.586179 
掖	0.586242 
全优	0.586252 
兽性	0.586963 
吉安	0.587109 
步	0.587120 
表	0.587193 
调休	0.587760 
六七千	0.587912 
个剑三	0.588016 
情节	0.588592 
预测	0.588642 
江西	0.588821 
过问	0.589048 
人士	0.589172 
质优价廉	0.589272 
上问题	0.589635 
消化	0.589760 
上继续	0.589792 
一收货	0.590613 
慧星	0.590930 
婆婆妈妈	0.591002 
圆滑	0.591231 
诸葛亮	0.591657 
上起来	0.591985 
物流公司	0.592080 
初试	0.592337 
敲门	0.592541 
个问题	0.592729 
显屏	0.592738 
天平	0.592751 
津	0.592866 
厂	0.592980 
创作	0.593128 
发票	0.593269 
一万六千	0.593405 
快	0.593707 
运送	0.594306 
控	0.594362 
一千八百	0.594882 
上office	0.595497 
匪夷所思	0.595955 
电脑玩游戏	0.595984 
上台笔记本	0.596096 
希望后面	0.596301 
阶梯	0.596303 
闹肚子	0.596366 
不错奥	0.596900 
三性	0.596975 
一款笔记本	0.597062 
只	0.597180 
短	0.597343 
老伙计	0.597427 
瞧瞧	0.597737 
截	0.598159 
快运	0.599153 
名号	0.599741 
制裁	0.600057 
做生日	0.600368 
使用可以	0.600408 
一零分	0.600734 
许许多多	0.600777 
册子	0.601211 
个肯定	0.601326 
个商城	0.601342 
尔虞我诈	0.601990 
菀	0.602209 
不出所料	0.602535 
邮	0.602863 
魄	0.603001 
极点	0.603147 
额	0.603531 
笔记	0.603785 
嗲	0.604036 
综合	0.604153 
运行起来	0.604347 
畅顺	0.604459 
试试	0.604638 
好看好看	0.604782 
姑娘	0.604932 
99分	0.604968 
反面	0.605396 
酷酷	0.605415 
运钞车	0.605638 
个金色	0.606436 
学子	0.606678 
前不久	0.606987 
上机械键盘	0.607041 
小豆	0.607057 
白刚	0.607074 
热销	0.607636 
东奔西跑	0.607648 
山东省	0.607662 
上宽带	0.607954 
傲视	0.608086 
涌入	0.608126 
细节	0.608151 
正轨	0.608251 
下半年	0.608479 
一本子	0.608502 
宣	0.608604 
良品	0.608993 
18万7	0.608996 
亲家	0.609624 
疑点	0.609751 
令人信服	0.610142 
洗礼	0.610248 
售货员	0.610468 
个没有红色	0.610555 
酷	0.610620 
9.9万	0.610972 
快捷	0.611603 
失踪	0.611668 
影碟机	0.611734 
中关村在线	0.612148 
望尘莫及	0.612228 
沿海	0.612430 
屏幕分辨率	0.612617 
三四	0.612717 
加个	0.612722 
屏幕	0.612771 
起重	0.612873 
亮	0.613515 
减负	0.613925 
光驱	0.614058 
蓉儿	0.614067 
活动	0.614539 
亚博	0.614639 
必备	0.615142 
二十	0.615466 
运气	0.615560 
个ssd硬盘	0.615913 
个游戏体验	0.616011 
款	0.616127 
笔记本电脑	0.616461 
长篇	0.616791 
摸透	0.616966 
上	0.616974 
传回	0.617010 
祝海	0.617258 
小试	0.617359 
触摸屏	0.617806 
款笔记本	0.618214 
设施	0.618557 
习惯性	0.618769 
个散热口	0.618900 
钴	0.618915 
属于	0.618974 
巴巴	0.619000 
0时	0.619021 
个开心	0.619077 
加把劲	0.619970 
上包装	0.620380 
闪光灯	0.620459 
吃透	0.621414 
久	0.621850 
帅气	0.622362 
大小	0.622376 
涨势	0.622477 
个背光键盘	0.622519 
款机器	0.622908 
光头	0.623313 
瞬间	0.623419 
标值	0.623795 
黄花菜	0.623804 
万幸	0.623923 
姚真	0.623976 
使	0.624120 
麦微	0.624184 
了然	0.624263 
拜谢	0.624732 
赚	0.624777 
划得来	0.624869 
跃跃欲试	0.625047 
免受	0.625491 
苞	0.625825 
索信	0.625935 
客户	0.625935 
倩	0.626395 
乌龙	0.626443 
26万	0.626761 
战神	0.626837 
物尽其用	0.626991 
追加	0.627060 
性交	0.627478 
生活	0.627655 
点缀	0.628849 
负责人	0.629146 
链子	0.629218 
销售人员	0.629587 
感人至深	0.629647 
上网	0.629734 
深入浅出	0.629807 
辨析	0.630035 
发车	0.630089 
小敏	0.630272 
相对	0.630679 
责任	0.631003 
大吉	0.631131 
加厚	0.631174 
高德	0.631394 
官网木	0.631614 
条条	0.631732 
影响	0.631826 
狐狸	0.632103 
待人接物	0.632234 
阿苏斯	0.632258 
期权	0.632527 
采集	0.632532 
一三千	0.633667 
一臂之力	0.633902 
添置	0.633959 
看起来	0.634237 
考验	0.634549 
一收到货	0.634557 
超级	0.635194 
质量好	0.635510 
坎巴	0.635594 
当作	0.635617 
超喜欢	0.635662 
太	0.635852 
今儿	0.635876 
感	0.635969 
颜色	0.636329 
黄冈市	0.636541 
皮毛	0.636796 
要得	0.636921 
钮	0.637087 
炫龙	0.637321 
巧	0.637327 
19.7万	0.637386 
讲评	0.637527 
大数	0.637927 
住	0.637959 
急不可待	0.638323 
同样	0.638551 
散热性能	0.638683 
生老病死	0.638730 
弟子	0.639503 
视频	0.639709 
注册	0.639717 
五千五	0.639737 
妥	0.639748 
包括	0.639989 
摩托	0.640208 
好性	0.640304 
上程序	0.640556 
3千2	0.641080 
15万9	0.641193 
事务	0.641196 
桌布	0.641326 
上性价比	0.641834 
款式	0.641898 
配送	0.641976 
素雅	0.642405 
评	0.642956 
对了	0.643179 
粉色	0.643348 
毁灭者	0.643982 
摆	0.644088 
灵便	0.644122 
牌	0.644383 
士人	0.644385 
音响	0.644387 
力顺丰	0.644409 
板子	0.644466 
剂	0.644825 
盖	0.645178 
尽快	0.645252 
人和	0.645307 
老气	0.645699 
舞	0.645755 
有望	0.646144 
积德	0.646243 
商家服务	0.646350 
打开电脑	0.646961 
去	0.647444 
个256g	0.647520 
实至名归	0.647541 
摄影师	0.647602 
烦	0.647612 
很快	0.647671 
稍	0.647939 
电影	0.648015 
热机	0.648078 
财力	0.648326 
汉口	0.648377 
毫不费力	0.648492 
卓	0.648869 
人口	0.648916 
简捷	0.649104 
16万7千	0.649289 
被子	0.649595 
保护膜	0.649900 
综合性	0.650004 
刚好	0.650033 
边远	0.650045 
易购	0.650069 
今非昔比	0.650113 
系列	0.650284 
光板	0.650394 
平常	0.650409 
没有质量问题	0.650478 
六七点	0.651222 
追	0.651305 
素来	0.651645 
一款机子	0.651651 
千	0.651958 
升级	0.651990 
触屏	0.651997 
现代化	0.652043 
伦	0.652313 
个认真	0.652657 
分公司	0.653101 
一年前	0.653423 
技术	0.653625 
动用	0.654231 
出奇	0.654633 
超大	0.654730 
正好	0.654982 
今晚	0.656004 
连连	0.656077 
铁器	0.656242 
玄武	0.656535 
睥	0.656573 
同等	0.656754 
上检测	0.657014 
当中	0.657382 
个高性能	0.657558 
防盗	0.657697 
运转	0.657699 
需求量	0.658235 
吹	0.658324 
码	0.658426 
随后	0.658866 
大赛	0.659010 
个缺口	0.659011 
一点儿	0.659402 
城信	0.659410 
来得	0.659415 
函	0.660090 
男子	0.660501 
上网页	0.660610 
休假	0.660987 
盈	0.661292 
个优点	0.661462 
啧	0.662002 
个标配	0.662197 
充满	0.662356 
双手	0.662606 
白来	0.662679 
垫	0.662773 
民	0.662890 
点收	0.662909 
真心实意	0.663129 
寄过来	0.663406 
右	0.663652 
有滋	0.664024 
回家	0.664134 
获益	0.664217 
老花眼	0.664331 
个深蓝	0.664722 
大网	0.664727 
西亚	0.665724 
读书	0.665820 
瓦尔德	0.665926 
保存	0.666037 
何止	0.666104 
结婚照	0.666209 
一台笔记本	0.666395 
家人	0.666416 
14万7	0.666787 
个便宜	0.667215 
毕竞	0.667313 
人性化	0.667349 
长江	0.667378 
偶	0.667462 
浏览	0.667640 
黄铜	0.667746 
李青	0.667790 
床	0.667857 
戴尔	0.667904 
坐下	0.668018 
自习	0.668097 
样样	0.668209 
多次	0.668223 
暑期	0.668432 
象牙	0.668594 
构图	0.668840 
全体	0.668999 
办	0.669207 
3万3千	0.669864 
个外壳	0.669917 
这家	0.670062 
发掘	0.670334 
佳节	0.670349 
帅帅	0.670460 
一不错	0.670806 
望眼欲穿	0.670928 
花儿	0.670986 
送货员	0.671171 
嗖嗖	0.671789 
萌发	0.672052 
遗留	0.672163 
挺直	0.672187 
经营者	0.672383 
5千	0.672426 
键盘非常	0.672447 
竭尽	0.672512 
阿斌	0.672645 
闹着玩	0.672977 
异类	0.673789 
帕	0.674058 
前所未有	0.674083 
元	0.674088 
掘	0.674107 
好多好多	0.674340 
十四万九千	0.674466 
个女儿	0.674519 
女孩子	0.674541 
分发	0.674684 
亲娘	0.674729 
上光驱	0.674865 
通缉	0.674898 
疏漏	0.674944 
水路	0.674968 
装装	0.675333 
戴尔比	0.675637 
一窍不通	0.675670 
外面	0.675781 
关键性	0.675818 
线形	0.675972 
装备	0.676197 
上出现问题	0.676494 
联想	0.676595 
手忙脚乱	0.676894 
传送	0.677060 
兰菲	0.677107 
解读	0.677117 
传人	0.677162 
郡主	0.677277 
六千二	0.677390 
装模作样	0.677472 
低能	0.677533 
心火	0.677853 
天顺	0.677977 
挎包	0.678136 
3千	0.678182 
序号	0.678330 
荧光	0.678591 
余热	0.678701 
开业	0.679565 
子	0.679649 
早点	0.679759 
全能型	0.679872 
偏	0.679907 
兼职	0.679933 
一起来	0.680120 
越	0.680165 
系统	0.680311 
徒弟	0.680431 
五六千	0.680667 
感言	0.680814 
蓝天	0.680985 
星级	0.681048 
非同一般	0.681050 
政	0.681192 
录用	0.681219 
足足	0.681263 
业	0.681470 
顾	0.681676 
嗷嗷	0.681777 
步子	0.681885 
祸	0.682086 
质感	0.682326 
个追评	0.682366 
腕	0.682372 
追评	0.682490 
宏基	0.682844 
拆开	0.682946 
硕大	0.682977 
看样子	0.683026 
龙	0.683068 
高清图	0.683203 
飞速	0.683395 
包装纸	0.683450 
啧啧	0.683641 
暗暗	0.683686 
乍	0.683690 
esp盘	0.683704 
还有一个	0.684051 
罄	0.684494 
光速	0.684505 
要不了	0.684894 
隔阂	0.684901 
客服方面	0.685152 
清雅	0.685280 
脖子	0.685335 
慧琳客	0.685676 
静	0.685766 
棕色	0.685804 
步入	0.685835 
机电	0.685894 
十二	0.685927 
看好	0.686005 
续航时间	0.686015 
上后期	0.686033 
红光	0.686289 
98分	0.686324 
品质	0.686356 
5百	0.686390 
胎	0.686413 
胆子	0.686424 
辽宁	0.686454 
联系客服	0.686623 
记账	0.686637 
同级	0.686788 
一收到笔记本	0.686883 
看齐	0.687100 
本次	0.687504 
炫彩	0.687692 
称得上	0.687699 
雅	0.687892 
前面	0.688025 
电脑城	0.688212 
走路	0.688379 
办公需求	0.688394 
星空	0.688578 
个想到	0.688941 
领到	0.689363 
翻天覆地	0.689774 
个包包	0.689875 
倩丽	0.690056 
麦丁	0.690100 
过客	0.690117 
港	0.690217 
回头	0.690387 
轻松松	0.690726 
商贸	0.691075 
80分	0.691116 
细	0.691143 
个差不多	0.691380 
尊贵	0.691562 
大车	0.691637 
轮廓	0.691686 
支出	0.691724 
独立数字	0.692061 
几十百	0.692163 
试机	0.692264 
消磨	0.692265 
比起	0.692436 
两千一百	0.692470 
百分之九九	0.692542 
上开机	0.692633 
值日	0.692862 
运行效果	0.692983 
查证	0.693106 
平时	0.693177 
一同	0.693486 
对折	0.693505 
挚爱	0.693625 
真假	0.693642 
飞行员	0.693698 
上网速度	0.693777 
季	0.693922 
团里	0.694025 
愈来愈	0.694176 
一收到宝贝	0.694241 
缺	0.694357 
死死的	0.694396 
婆	0.694441 
联想笔记本	0.694448 
不适感	0.694684 
考取	0.694697 
加不加	0.694798 
你好	0.694946 
振动	0.695260 
灵	0.695347 
豹	0.695524 
基础	0.695560 
分期付款	0.695863 
生还	0.695924 
每日	0.695934 
电力	0.695935 
个质量	0.696359 
输	0.696424 
开机使用	0.696534 
引以为鉴	0.697022 
气泡	0.697036 
孟	0.697078 
书信	0.697451 
躁动	0.697566 
孑	0.697580 
前导	0.697712 
操作性	0.697872 
手中	0.698078 
一款游戏	0.698839 
货物	0.698947 
形容	0.699134 
成功率	0.699165 
神舟	0.699363 
中性	0.699433 
真面目	0.699850 
同行业	0.700126 
通病	0.700192 
意向	0.700226 
检查	0.700310 
大忙人	0.700362 
邻居	0.700916 
述	0.701051 
可以咨询	0.701051 
神越	0.701309 
女孩	0.701540 
彩	0.701677 
出外	0.701708 
所谓	0.701972 
3d设置	0.702041 
二话	0.702054 
公众	0.702743 
神经性	0.702773 
一老人	0.702831 
欧洲	0.702878 
太大屏	0.702924 
兼得	0.703138 
大使	0.703159 
国税局	0.703227 
麦蓉儿	0.703610 
个么么哒	0.703646 
动感	0.703988 
三千二	0.704061 
个机子	0.704455 
看中	0.704641 
人云亦云	0.705091 
大势所趋	0.705219 
初七	0.705233 
日夜兼程	0.705355 
乡镇	0.705452 
赶上	0.705509 
一型号	0.705735 
静音	0.706075 
起码	0.706166 
一应俱全	0.706291 
三：	0.706318 
茈	0.706334 
零四	0.706351 
耐久	0.706488 
一时间	0.706505 
w10系统	0.706533 
一学生	0.706535 
和声	0.706587 
左右	0.706763 
玫	0.707079 
之上	0.707167 
机身	0.707225 
纪念日	0.707234 
薄厚	0.707243 
家庭	0.707311 
胆	0.707496 
保险	0.707619 
选	0.707671 
开门红	0.707746 
榨	0.707930 
手感	0.707931 
毋庸置疑	0.708220 
无缝	0.708377 
娜	0.708479 
费德勒	0.708513 
旗袍	0.708681 
间接	0.708877 
电池	0.708940 
陈	0.709116 
观赏	0.709329 
打牌	0.709373 
服装	0.709552 
生财	0.709585 
二十九日	0.709616 
客房	0.709653 
值得一提的是	0.709786 
马拉	0.709823 
开箱	0.710068 
厚厚	0.710110 
显示屏	0.710156 
华	0.710235 
政府	0.710396 
顺势	0.710454 
商务	0.710685 
上高端	0.710700 
好多	0.710731 
心焦	0.710767 
档	0.710783 
京京	0.710955 
出公差	0.711235 
广	0.711356 
喻	0.711407 
必将	0.711461 
景	0.711466 
一鼠标	0.711820 
运算	0.711881 
有生之年	0.712505 
法国	0.712710 
官网贵	0.712858 
真真	0.713257 
完结	0.713323 
得来	0.713377 
咨询客服	0.713399 
充其量	0.713413 
慢慢来	0.713549 
手记	0.713646 
最最	0.713670 
分期	0.714049 
整合	0.714173 
条理	0.714196 
相见恨晚	0.714381 
半路	0.714541 
先全	0.714781 
祝雷	0.714987 
节日	0.715067 
对本	0.715118 
彩纸	0.715181 
总裁	0.715340 
宝马	0.715345 
鬼	0.715362 
包装费	0.715485 
绞	0.715561 
蓝色	0.715590 
个键盘膜	0.715871 
紫色	0.716434 
发条	0.716832 
转账	0.716913 
差差	0.717275 
风速	0.717398 
个台式机	0.717447 
慕	0.717467 
妄自菲薄	0.717573 
善	0.717613 
俊	0.717742 
大拇指	0.717780 
才买的戴尔	0.717795 
个性价	0.717896 
三两	0.718195 
翻开	0.718249 
表层	0.718432 
波	0.718509 
选择	0.718538 
以此为戒	0.718648 
后缀	0.718806 
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	0.718835 
烧	0.719140 
反差	0.719274 
舌	0.719313 
沉船	0.719373 
高清大屏	0.719446 
配子	0.719452 
金克斯	0.719471 
三百两	0.719574 
年青人	0.719593 
概率	0.720110 
下班	0.720581 
早已	0.720843 
柴	0.720886 
鲜肉	0.721098 
欧特克	0.721120 
用工	0.721411 
永无止境	0.721440 
清晰可见	0.721477 
宏	0.721562 
机械师	0.721796 
兴隆	0.721956 
灰烬	0.722264 
女人	0.722590 
搭配	0.722766 
区太	0.722876 
属下	0.723178 
个主流游戏	0.723227 
次联系	0.723260 
比高	0.723306 
跑起来	0.723401 
此刻	0.723462 
范围	0.723538 
增强	0.723741 
逐步	0.723755 
和婷婷	0.723853 
里弄	0.724217 
别处	0.724391 
王	0.724489 
收	0.724513 
太原	0.724615 
黑斑	0.724958 
小钱	0.724975 
专用	0.725037 
嫁	0.725148 
发言权	0.725313 
周围	0.725458 
六千	0.725529 
家电	0.725551 
沸沸扬扬	0.725575 
相劝	0.725584 
日货	0.725736 
牡丹江	0.725773 
打打	0.726026 
识别	0.726414 
上良心	0.726455 
莹	0.726536 
赴	0.726614 
涨价	0.726652 
仍然	0.726673 
更新换代	0.726748 
玄龙	0.726891 
猿	0.727345 
这部	0.727533 
策	0.727546 
真伪	0.727596 
岗	0.728196 
审计	0.728275 
固化	0.728536 
珠海	0.728566 
黑木耳	0.728619 
标	0.728787 
厚重	0.728940 
取	0.728949 
阿基米德	0.729008 
年关	0.729066 
羊毛	0.729179 
爱好者	0.729307 
海军蓝	0.729320 
硬性	0.729526 
冲击力	0.729695 
省吃俭用	0.729878 
造价	0.729893 
派	0.729896 
体型	0.730198 
兴许	0.730216 
敢于	0.730279 
唔	0.730401 
成十万	0.730503 
三四千	0.730618 
东芝笔记本	0.730753 
标新立异	0.731105 
奔	0.731155 
军训	0.731224 
判定	0.731472 
想开	0.731548 
身为	0.731767 
更进一步	0.731849 
权威	0.731850 
密度	0.731883 
个标准	0.731889 
箱子	0.732271 
路过	0.732282 
上银色	0.732395 
深灰色	0.732405 
大款	0.732545 
视听	0.732574 
介绍人	0.732803 
布丁	0.732825 
快感	0.733083 
猴子	0.733235 
这般	0.733237 
回去	0.733370 
锻	0.733430 
入眼	0.733974 
难得	0.734081 
4k屏	0.734143 
虚名	0.734155 
工作服	0.734411 
高峰期	0.734456 
90分	0.734637 
族	0.734953 
赔钱	0.734988 
小惠	0.735105 
会重启	0.735216 
组装	0.735247 
应对	0.735368 
隔夜	0.735927 
第3	0.736163 
事与愿违	0.736166 
哥哥	0.736206 
一般化	0.736231 
紧跟	0.736269 
装逼	0.736491 
领头	0.736532 
重复	0.736650 
懂行	0.736771 
对公	0.737143 
一同学	0.737196 
震屏	0.737457 
行全	0.737478 
处理事情态度	0.737583 
税收	0.737586 
体重	0.737756 
架不住	0.738011 
多样	0.738124 
余下	0.738393 
大度	0.738821 
银白	0.738955 
日常使用	0.739050 
正逢	0.739120 
散	0.739271 
太太太太	0.739521 
急用	0.739742 
天虎	0.739808 
沉鱼落雁	0.739809 
测验	0.739811 
个独显	0.739905 
液态	0.740009 
翻转	0.740053 
个变形	0.740070 
少于	0.740101 
上网速	0.740118 
无碍	0.740194 
钢	0.740248 
双显卡	0.740321 
彩色	0.740327 
迄今为止	0.740677 
观望	0.740721 
雨婷	0.740774 
粗略	0.740798 
个大学生	0.740805 
谦和	0.740864 
记住	0.740892 
质	0.740906 
旺	0.740917 
毕业	0.740989 
京	0.741527 
稀	0.741682 
虚拟	0.741859 
人中	0.741881 
怡	0.741911 
简要	0.742504 
金光闪闪	0.742527 
无谓	0.742844 
个同学	0.743064 
上gtx970m	0.743067 
拍板	0.743307 
炫麦	0.743410 
申报	0.743477 
动员	0.743640 
租赁费	0.743659 
厚厚的	0.743768 
封	0.743780 
讲解	0.743781 
我国	0.744127 
务	0.744146 
上电池	0.744221 
仟	0.744334 
电脑报	0.744385 
再行	0.744457 
霸	0.744568 
首发	0.744674 
炫丽	0.744876 
官方店	0.744904 
外加	0.744978 
写真	0.744987 
叫好	0.745148 
现状	0.745170 
来回	0.745232 
拼音	0.745251 
二十四	0.745401 
抓走	0.745478 
稻草	0.745597 
溢	0.745816 
溥	0.745867 
上好看	0.745938 
斜眼	0.746018 
一波	0.746525 
吸取	0.746637 
左选	0.746709 
个特价	0.746739 
世面	0.746754 
锋麦	0.746778 
嫁衣	0.746791 
籍	0.746806 
磁盘	0.746990 
不及	0.747074 
上等级	0.747100 
和华硕	0.747146 
房东	0.747155 
个服务态度	0.747176 
阳光	0.747291 
华强	0.747597 
碾压	0.747771 
优惠券	0.747823 
威猛	0.748535 
反射率	0.748535 
慧源	0.748651 
一般来说	0.748700 
弯路	0.749099 
年货	0.749157 
个翻新	0.749176 
电脑店	0.749240 
个缺陷	0.749315 
楷模	0.749367 
发自	0.749376 
迷迷糊糊	0.749457 
一箱子	0.749680 
见解	0.749737 
昨	0.750180 
简洁	0.750206 
福地	0.750242 
间隔	0.750285 
一点八	0.750328 
婴儿	0.750471 
七星	0.750557 
略胜一筹	0.750590 
抓瞎	0.750715 
十五	0.750959 
个钢铁侠	0.751289 
预示	0.751348 
三亚	0.751503 
绵薄	0.751530 
装饰品	0.751537 
划不来	0.751549 
从此以后	0.751625 
奎屯	0.751634 
萍萍	0.751640 
多谢	0.751676 
用电量	0.751825 
包容	0.751903 
嗒	0.752054 
选本	0.752536 
皮革	0.752640 
寂静	0.752824 
尤物	0.752871 
船	0.753107 
近些年	0.753209 
怒	0.753257 
效应	0.753280 
上丝袜	0.753293 
桑	0.753300 
一点.	0.753734 
解决问题	0.753843 
大法	0.753903 
自理	0.753975 
购入	0.754070 
四五百	0.754284 
箱底	0.754363 
油印	0.754388 
第15	0.754410 
诗	0.754610 
一坏点	0.754679 
速比	0.754767 
个性	0.754829 
先前	0.755288 
全天	0.755319 
个预装软件	0.755582 
何乐而不为	0.755590 
么么么么	0.755637 
关照	0.755776 
青海	0.755946 
后跟	0.756011 
纰漏	0.756229 
比比	0.756345 
地址	0.756432 
潘	0.756571 
看不到	0.756633 
柔美	0.756859 
交流	0.757021 
堵车	0.757122 
怀孕	0.757272 
身	0.757309 
挑毛病	0.757446 
水深	0.757509 
好评好评好评好评	0.757804 
开膛	0.757976 
颇	0.758329 
一万二	0.758351 
中耳	0.758481 
教育	0.758524 
谢谢亲	0.758526 
材质	0.758768 
布面	0.758776 
雨天	0.758778 
前途无量	0.758913 
附加	0.759233 
外带	0.759530 
低价位	0.759669 
外壳	0.759679 
上便宜	0.759767 
鼻子	0.759772 
改装	0.759865 
过滤	0.759889 
个红包	0.759968 
个商务笔记本	0.760006 
奘	0.760087 
上速度很快	0.760356 
感谢客服	0.760543 
女方	0.760556 
上各种	0.760699 
赐	0.760774 
个包装箱	0.760915 
大片	0.760982 
层次	0.761018 
华硕来	0.761175 
散热能力	0.761233 
一体验	0.761492 
硬盘运行	0.761695 
制图	0.761797 
本儿	0.761824 
浸润	0.761988 
天蓝	0.762105 
毅然决然	0.762238 
后劲	0.762242 
雷克顿	0.762256 
演	0.762275 
文献	0.762281 
个本子	0.762435 
运营	0.762455 
大都	0.762610 
上必须	0.762621 
擎天柱	0.762807 
美观	0.763119 
名副其实	0.763233 
国色	0.763436 
胸口	0.763519 
国美	0.763927 
上表现	0.764022 
拉萨	0.764022 
贵宾	0.764225 
一回来	0.764408 
风口	0.764414 
手术刀	0.764420 
天意	0.764549 
速递	0.764574 
科幻	0.764663 
对比	0.764837 
事业	0.764977 
海王星	0.765092 
最低点	0.765094 
省事	0.765485 
蹊径	0.765537 
大腿	0.765669 
采用	0.765700 
二话不说	0.765762 
遗	0.765827 
8万9千	0.765881 
一看到	0.765957 
敬请	0.766043 
肠	0.766106 
兰兰	0.766167 
产物	0.766346 
高显全	0.766520 
悬	0.766561 
和美	0.766619 
1-2万	0.766638 
画画	0.766664 
完毕	0.767020 
个笔记本电脑	0.767038 
上表面	0.767099 
上乘	0.767497 
惠普	0.767610 
暑	0.767723 
人数	0.767743 
人民币	0.767856 
预装	0.767882 
铂	0.767896 
优越性	0.768005 
撑住	0.768304 
今世	0.768664 
国内	0.768697 
收音机	0.768729 
着儿	0.768803 
脑	0.768821 
个态度	0.768853 
本名	0.768888 
万象	0.769060 
手印	0.769141 
装	0.769194 
邮寄	0.769206 
搞好	0.769271 
亭	0.769778 
半斤八两	0.770107 
三十六	0.770255 
偏好	0.770638 
高跟鞋	0.770837 
个白色	0.770838 
晶	0.770845 
地主	0.770909 
绒布	0.771017 
记不清	0.771033 
版式	0.771168 
大叔	0.771249 
拉链	0.771333 
红灯	0.771573 
个散热风扇	0.771589 
星星	0.771607 
外客	0.771793 
与众不同	0.771795 
标志性	0.771813 
